originating_id; orig_longitude; orig_latitude; terminating_id; term_longtitude; term_latitude; date; time
1;-8.41300676;40.18639362;1;-8.41300676;40.18639362;13:27:06;1
2;-8.4164771;40.1871047;2;-8.4164771;40.1871047;13:27:06;1
3;-8.4185171;40.1900084;3;-8.4185171;40.1900084;13:27:06;1
4;-8.41980348;40.19086449;4;-8.41980348;40.19086449;13:27:06;1
5;-8.4178152;40.1926990;5;-8.4178152;40.1926990;13:27:06;1
6;-8.4132860;40.1943327;6;-8.4132860;40.1943327;13:27:06;1
7;-8.4134921;40.1954185;7;-8.4134921;40.1954185;13:27:06;1
8;-8.4146005;40.1959413;8;-8.4146005;40.1959413;13:27:06;1
9;-8.4120796;40.1969391;9;-8.4120796;40.1969391;13:27:06;1
10;-8.4106821;40.1983592;10;-8.4106821;40.1983592;13:27:06;1
11;-8.4072815;40.1976755;11;-8.4072815;40.1976755;13:27:06;1
12;-8.4039563;40.1980928;12;-8.4039563;40.1980928;13:27:06;1
13;-8.4030942;40.1999778;13;-8.4030942;40.1999778;13:27:06;1
14;-8.4040995;40.2036323;14;-8.4040995;40.2036323;13:27:06;1
15;-8.40625162;40.20554565;15;-8.40625162;40.20554565;13:27:06;1
16;-8.4077032;40.2061947;16;-8.4077032;40.2061947;13:27:06;1
17;-8.4089944;40.2055295;17;-8.4089944;40.2055295;13:27:06;1
18;-8.4101448;40.2049926;18;-8.4101448;40.2049926;13:27:06;1
19;-8.4131816;40.2041974;19;-8.4131816;40.2041974;13:27:06;1
20;-8.4173646;40.2031779;20;-8.4173646;40.2031779;13:27:06;1
21;-8.4194490;40.2038013;21;-8.4194490;40.2038013;13:27:06;1
22;-8.4201013;40.2061829;22;-8.4201013;40.2061829;13:27:06;1
23;-8.4196063;40.2099078;23;-8.4196063;40.2099078;13:27:06;1
